,Class 0: Selective,Class 1: Pure Hemolytic,Class 2: Both Active/Toxic,Class 3: Inactive
YY,0.0010425085654220212,0.0002721698797818903,3.718691459065022e-05,0.0014728180179514883
_ChargeD1025,0.0237787752185364,0.010772144381289825,6.317025980952503e-05,0.0056336649316930144
_ChargeD3025,0.0005051494246644499,0.0,2.791270684471257e-05,0.00047749406965428323
_ChargeT13,0.00015186476367595335,0.0014357790206872988,0.0013068487223003758,0.0022239359525711767
_ChargeT23,0.0059535256908412205,0.0006336360985649753,0.00017302653035716363,0.007352344262147475
_HydrophobicityC1,0.004256604798591146,0.008868036646338081,1.5811099214050534e-05,0.0015493965488010285
_HydrophobicityC3,0.0010189826419101059,0.016982899003799765,0.00497553479301644,0.024912358621999295
_HydrophobicityD1075,0.0040536198628053,0.004450733313265271,3.253599712339146e-05,0.0002653874481697101
_NormalizedVDWVC1,0.016203863953091847,0.0007718273642163631,0.003932068690124502,0.023440277450617723
_NormalizedVDWVD2050,0.0,0.0004351972892394196,0.0027027791789709147,0.0023126885055025216
_PolarityC3,0.005077748786894905,0.011100794526101578,0.0009297899165784057,0.0026664726681764265
_PolarizabilityD2025,0.0009371605148886766,0.0002929289249576832,0.00011015635257859018,0.0
_SecondaryStrD2100,0.002330601971183777,0.0,0.0011051119580767202,0.0
