,Class 0: Selective,Class 1: Pure Hemolytic,Class 2: Both Active/Toxic,Class 3: Inactive
ES,0.0,0.001027375892437477,0.0003177742782874483,0.0008578659682361496
ET,0.0017160563515922695,0.00027784713889838266,0.0001563293133004312,0.0016652791199945319
FA,0.00015097337894358646,4.9065756391028545e-05,0.0004752698473367095,0.0
FD,0.0,0.0,0.0,0.0
FH,1.9678489112255845e-05,0.0006278110668948873,0.0001799990267514015,0.0007224266949150677
FP,0.00042335069653788164,7.342322297958225e-05,0.00012801181466636088,0.0
FQ,0.0008095386381671504,7.183216994632454e-05,0.00038705932236165525,0.001258183303049539
FV,0.0003441326595791583,0.00040954793061026204,0.0006150052151376892,0.002405466684130819
GG,0.0005365177836666193,0.002252271112832331,7.438955936992227e-05,0.0028787425928132556
GL,0.00028990253584067015,4.7377644051401136e-05,0.0,0.0009507924273291588
GN,0.0011607983045298113,0.0017820000778059257,0.0007349295793832859,0.003653680589364347
GQ,0.0017183266504284876,0.00160480644277268,0.001097682189124202,0.0010116995908546666
GT,0.000906834456167879,0.0005324063826180798,0.00025494934376359954,0.0006979641225177291
GW,0.0004859530953097636,0.0,0.0002381815356283476,0.00043164938553180026
GearyAuto_AvFlexibility8,0.0,0.00038927763801610766,0.0003246197245053617,0.0
GearyAuto_FreeEnergy3,0.006768634271176028,1.5808952029502018e-05,3.507705116984887e-05,0.004031948364709536
GearyAuto_FreeEnergy5,0.00916011778912731,0.0016237982926550411,0.0009835104741551827,0.005791462816215718
GearyAuto_FreeEnergy8,0.0005760795560865552,0.0,0.0043980384933450115,0.003535744504974424
GearyAuto_FreeEnergy9,0.0,0.0,0.0,2.4147082199595835e-05
GearyAuto_Mutability5,0.006248012287662783,0.0005557168434540455,0.0,0.0015412018141964371
GearyAuto_Polarizability3,6.32876733445998e-05,0.0,0.0007375422182098883,0.00019579888983367155
GearyAuto_Polarizability8,0.0,0.0004688878823468114,2.5883735799268024e-05,0.0005768615901546768
GearyAuto_ResidueASA7,0.00015058456756757472,0.0007251782468934476,3.4001250388763876e-05,0.00020776291145412212
GearyAuto_ResidueVol7,0.0004532456650980085,0.0004485821938497398,0.0014900178740626568,0.0004893219832063269
HA,0.0007258526541518482,0.002100118424142817,0.000800881369033024,0.0038102728733415293
HC,0.0,0.0,0.0,0.0
HE,0.0,0.0,0.0,0.0
HP,0.0,0.0,0.0,0.0
HT,0.0003874921986300358,0.00018468752639273656,0.0008007589847771939,0.0006837415556236798
HY,0.0,0.0,0.0,0.0
IG,0.0007095616228326627,0.002543586750541573,0.0003406260287866075,0.0015472953508217032
II,0.0008595766243563715,0.00028542140119233316,0.0003225150605489501,0.0014788162223876385
IK,0.003576599955942308,0.0006340355902546281,0.001928780633093681,1.5467960146081188e-05
IP,0.0005425820293974787,0.0013579953962047251,0.00019291880312156622,0.00014977102488389552
IV,0.00010518944889269106,0.0022658305722844845,8.09371312522779e-05,0.0008088477111910625
IW,0.001034584297440987,0.0033575708026625435,0.0,0.0016448730654678766
IY,0.0013345107514840392,0.0013870758093600495,0.0012925353049002928,0.002242627809441997
KD,0.0012914132291166186,0.000195640809638131,0.00046333803626357785,0.0018956030541966132
KE,0.0008517104452312398,0.0008986131291808924,0.0004265830881927261,0.0014345861967253414
KK,0.0012314007653717962,0.0002846291504193862,1.4454294125207956e-05,8.713762682921732e-05
KP,0.0,0.000626074882592206,0.0001748964571703908,0.0009513536545912046
KW,0.005090809849706155,0.000152588627196198,0.0,0.0024378968436905165
LC,0.0005450675647042116,0.0010143078215143697,0.0012928467689163248,0.0030103754542059823
LP,0.0007663805238717921,0.0016474814984711492,0.003387023381887774,0.0062141318114954085
